key,trinomial,dcterms:coverage_temporal,artifact,xsd:gDate_earliestStart,xsd:gDate_latestStart,xsd:gDate_earliestEnd,xsd:gDate_latestEnd,skos:CloseMatch,count,lat,long
1392,41KE216,Archaic,,,6850 BC,650 AD,750 AD,http://n2t.net/ark:/99152/p07fthdxxsh,1,29.782115,-98.716423
1393,41KE217,Archaic,,,6850 BC,650 AD,750 AD,http://n2t.net/ark:/99152/p07fthdxxsh,1,29.775327,-98.711931
1394,41KE217,Prehistoric,,,12550 BC,1690 AD,,,1,29.775327,-98.711931
1395,41KE217,Early Archaic,,,6850 BC,4050 BC,,http://n2t.net/ark:/99152/p0m448vxj6h,1,29.775327,-98.711931
1396,41KE23,Archaic,,,6850 BC,650 AD,750 AD,http://n2t.net/ark:/99152/p07fthdxxsh,1,29.789409,-98.649564
1397,41KE55,Archaic,,,6850 BC,650 AD,750 AD,http://n2t.net/ark:/99152/p07fthdxxsh,1,29.837148,-98.682531
1398,41KE56,Archaic,,,6850 BC,650 AD,750 AD,http://n2t.net/ark:/99152/p07fthdxxsh,1,29.902114,-98.652909
1399,41KE63,Late Prehistoric,,,630 AD,1700 AD,,http://n2t.net/ark:/99152/p0m448vvmv7,1,29.825633,-98.78577
1400,41KE63,Paleoindian,,12550 BC,11050 BC,7850 BC,7050 BC,http://n2t.net/ark:/99152/p0m448vx5q4,1,29.825633,-98.78577
1401,41KE63,Archaic,,,6850 BC,650 AD,750 AD,http://n2t.net/ark:/99152/p07fthdxxsh,1,29.825633,-98.78577
1402,41KE66,Archaic,,,6850 BC,650 AD,750 AD,http://n2t.net/ark:/99152/p07fthdxxsh,2,29.960875,-98.713627
1403,41KE66,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,1,29.960875,-98.713627
1404,41KE69,Early Archaic,,7050 BC,6950 BC,4050 BC,3550 BC,http://n2t.net/ark:/99152/p0m448vxj6h,1,29.847656,-98.84551
1405,41KE73,Early Archaic,,7050 BC,6950 BC,4050 BC,3550 BC,http://n2t.net/ark:/99152/p0m448vxj6h,1,29.845603,-98.842159
1406,41KE80,Prehistoric,,,12550 BC,1690 AD,,,2,29.986356,-98.888497
1407,41KE81,Prehistoric,,,12550 BC,1690 AD,,,2,29.98519,-98.886476
1408,41KE82,Prehistoric,,,12550 BC,1690 AD,,,2,29.984187,-98.884933
1409,41KE86,Prehistoric,,,12550 BC,1690 AD,,,11,29.937161,-98.829167
1410,41KE86,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,6,29.937161,-98.829167
1411,41KE88,Historic,,,1750 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,4,29.907027,-98.791243
1412,41KE88,Prehistoric,,,12550 BC,1690 AD,,,4,29.907027,-98.791243
1413,41KE93,Late Archaic I,,,2299 BC,599 BC,,http://n2t.net/ark:/99152/p0t3585kxnj,2,29.892196,-98.670478
1414,41KM140,Archaic,,,6850 BC,650 AD,750 AD,http://n2t.net/ark:/99152/p07fthdxxsh,30,30.632456,-99.926865
1415,41KM140,Late Prehistoric,,,750 AD,1150 AD,1690 AD,http://n2t.net/ark:/99152/p0m448vvmv7,29,30.632456,-99.926865
1416,41KM140,Late Archaic,,,2050 BC,650 AD,750 AD,http://n2t.net/ark:/99152/p0m448vtqnz,29,30.632456,-99.926865
1417,41KM140,Early Archaic,,,6850 BC,4050 BC,,http://n2t.net/ark:/99152/p0m448vxj6h,29,30.632456,-99.926865
1418,41KM140,Middle Archaic,,,4050 BC,2050 BC,,http://n2t.net/ark:/99152/p0m448v3gsp,29,30.632456,-99.926865
1419,41KM140,Prehistoric,,,12550 BC,1690 AD,,,29,30.632456,-99.926865
1420,41KM16,Toyah,,1250 AD,1450 AD,1600 AD,1750 AD,http://n2t.net/ark:/99152/p0qkjhbzth5,141,30.495241,-99.991529
1421,41KM16,Late Prehistoric,,,630 AD,1700 AD,,http://n2t.net/ark:/99152/p0m448vvmv7,2,30.495241,-99.991529
1422,41KM16,Prehistoric,,,12550 BC,1690 AD,,,5,30.495241,-99.991529
1423,41KM16,,Unknown Aboriginal,,0 BC,1800 AD,,,3,30.495241,-99.991529
